This is part of the Online Privacy and Security dataset from the
Graphic, Visualization, & Usability Center's (GVU) 10th WWW User
Survey.  Please see the file GVU_Survey_Copyright_Notice for the
conditions under which this dataset can be used and/or distributed.


Advertising Networks,Anonymous Payment Systems,Attitudes Towards Spamming,Childrens Privacy,Content Providers have Right to Resell User Information,Direct Marketing,Had Credit Card Number Stolen,Have Unlisted Phone Number,How Concerned about Security,How Concerned about Security for ECommerce,Information about Users Improves Marketing of Site,Internet Privacy Laws,Internet Shopping and Banking Make Life Easier,Mass Emailings,Ought to be able to Assume Different Aliases/Roles on the Internet,Policies Towards Spamming,Privacy of Communications,Security a Factor in Online Business,Use of Demographic Information in Other Mediums,Users Ought to Have Complete Control of Demographic Info,Value Anonymous Nature of Internet,Which is More Important,Willing to Use Credit Card on Web
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Somewhat,Yes,Yes,Very,Somewhat,Disagree Strongly,Agree Somewhat,Yes,Disagree Somewhat,Agree Strongly,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Disagree Somewhat,Reply,Neither Agree or Disagree,Disagree Somewhat,Disagree Somewhat,No,No,Very,Not at all,Agree Somewhat,Agree Somewhat,No,Disagree Strongly,Agree Somewhat,Blacklist,No Opinion,A small factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Neither Agree or Disagree,Convenience,Yes
Agree Somewhat,Neither Agree or Disagree,Delete,Disagree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Somewhat,A little,Agree Somewhat,Disagree Somewhat,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A small factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,No Opinion,Disagree Strongly,Disagree Strongly,No,No,Very,"Should be, but not",Disagree Strongly,Agree Strongly,No,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Somewhat,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Somewhat,Disagree Strongly,No,No,Somewhat,Very,Agree Somewhat,Neither Agree or Disagree,No,Disagree Strongly,Neither Agree or Disagree,Impact Fee,Agree Strongly,A significant factor,Agree Somewhat,Agree Strongly,Agree Strongly,Convenience,No
Disagree Strongly,Agree Strongly,Other,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Disagree Strongly,Agree Strongly,Convenience,Yes
Disagree Somewhat,Agree Somewhat,Reply,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Somewhat,A little,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Neither Agree or Disagree,Agree Somewhat,Delete,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Agree Somewhat,Impact Fee,Agree Strongly,A significant factor,Agree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Disagree Somewhat,Disagree Somewhat,Neither Agree or Disagree,No,No,Somewhat,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Blacklist,Agree Strongly,A significant factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Somewhat,Disagree Somewhat,No,Yes,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Disagree Somewhat,Government Controls,Agree Somewhat,A significant factor,Disagree Strongly,Agree Strongly,Neither Agree or Disagree,Convenience,Yes
Disagree Somewhat,No Opinion,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,Yes,No,A little,Somewhat,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Neither Agree or Disagree,Reply,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,"Should be, but not",Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Neither Agree or Disagree,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Disagree Strongly,Disagree Strongly,Disagree Somewhat,Yes,No,Somewhat,Very,Disagree Somewhat,Disagree Strongly,Yes,Disagree Somewhat,Neither Agree or Disagree,Nothing,Agree Somewhat,A significant factor,Disagree Strongly,Agree Strongly,Neither Agree or Disagree,Convenience,Yes
Disagree Strongly,Agree Strongly,Not App,Agree Somewhat,Disagree Strongly,Disagree Strongly,Yes,Yes,Very,Very,Disagree Strongly,Agree Strongly,No,Disagree Strongly,No Opinion,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,No
Disagree Strongly,No Opinion,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Somewhat,Disagree Strongly,Agree Somewhat,Yes,Disagree Strongly,No Opinion,Registry,No Opinion,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Somewhat,Read,Neither Agree or Disagree,Disagree Somewhat,Agree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Disagree Somewhat,Yes,Neither Agree or Disagree,Agree Somewhat,Registry,Agree Somewhat,A small factor,Agree Somewhat,Disagree Somewhat,Agree Strongly,Convenience,Yes
Disagree Strongly,No Opinion,Other,No Opinion,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Very,Disagree Somewhat,No Opinion,No,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Agree Somewhat,Agree Somewhat,Delete,Agree Strongly,Neither Agree or Disagree,Agree Somewhat,No,No,Very,Very,Neither Agree or Disagree,Agree Somewhat,Yes,Agree Somewhat,Agree Somewhat,Blacklist,Agree Strongly,A significant factor,Agree Somewhat,Neither Agree or Disagree,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Somewhat,Agree Strongly,No,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Agree Strongly,Agree Somewhat,Disagree Somewhat,No,No,Not at all,Not at all,Agree Somewhat,Neither Agree or Disagree,Yes,Disagree Somewhat,Agree Somewhat,Registry,Agree Somewhat,A small factor,Neither Agree or Disagree,Agree Strongly,Neither Agree or Disagree,Convenience,Yes
Agree Somewhat,Neither Agree or Disagree,Read,Agree Somewhat,Disagree Somewhat,Agree Somewhat,No,Yes,A little,A little,Agree Somewhat,Agree Somewhat,Yes,Neither Agree or Disagree,Agree Somewhat,Nothing,Agree Somewhat,A small factor,Disagree Somewhat,Agree Somewhat,Neither Agree or Disagree,Convenience,Yes
Agree Somewhat,No Opinion,Read,Agree Strongly,Agree Somewhat,Agree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Disagree Strongly,No,Agree Somewhat,Neither Agree or Disagree,Nothing,Agree Somewhat,A deciding factor,Agree Somewhat,Disagree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Retaliate,Disagree Somewhat,Disagree Strongly,Disagree Strongly,Yes,No,Very,Very,Disagree Strongly,Agree Strongly,No,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Somewhat,No,No,A little,Somewhat,Agree Somewhat,Neither Agree or Disagree,Yes,Disagree Strongly,Neither Agree or Disagree,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Disagree Somewhat,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Agree Strongly,Delete,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Yes,No,Somewhat,Very,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Somewhat,Agree Somewhat,Registry,Agree Strongly,A deciding factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Privacy,No
Disagree Somewhat,Agree Somewhat,Delete,Agree Somewhat,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Other,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Not App,Agree Strongly,Disagree Somewhat,Disagree Somewhat,Yes,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,No Opinion,Impact Fee,Agree Somewhat,A deciding factor,Disagree Somewhat,Neither Agree or Disagree,Agree Somewhat,Privacy,No
Agree Somewhat,No Opinion,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,A little,Very,Agree Strongly,Disagree Somewhat,Yes,Disagree Strongly,Disagree Somewhat,Other,Agree Somewhat,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,A little,"Should be, but not",Disagree Somewhat,Agree Somewhat,No,Disagree Strongly,No Opinion,Impact Fee,Agree Somewhat,A significant factor,Disagree Strongly,Agree Strongly,No Opinion,Privacy,Yes
Neither Agree or Disagree,Neither Agree or Disagree,Delete,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Yes,No,Somewhat,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Convenience,Yes
Neither Agree or Disagree,Agree Strongly,Not App,Agree Somewhat,Neither Agree or Disagree,Disagree Strongly,No,No,Very,Somewhat,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Disagree Somewhat,Registry,Agree Strongly,A significant factor,Neither Agree or Disagree,Neither Agree or Disagree,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Reply,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,"Should be, but not","Should be, but not",Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Disagree Strongly,Registry,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Somewhat,Delete,Agree Somewhat,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Somewhat,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Somewhat,Disagree Somewhat,Disagree Strongly,No,Yes,Very,Very,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Disagree Strongly,Other,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Other,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Strongly,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,A little,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Somewhat,Disagree Somewhat,No,No,Somewhat,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Neither Agree or Disagree,Impact Fee,Agree Strongly,A deciding factor,Agree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Very,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Other,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Somewhat,Disagree Strongly,Yes,No,Very,Very,Agree Somewhat,Neither Agree or Disagree,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Somewhat,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Neither Agree or Disagree,Agree Somewhat,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Reply,Neither Agree or Disagree,Disagree Strongly,Disagree Somewhat,No,No,Not at all,A little,Agree Somewhat,Disagree Strongly,No,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A small factor,Disagree Somewhat,Disagree Somewhat,Neither Agree or Disagree,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Very,A little,Neither Agree or Disagree,Neither Agree or Disagree,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Strongly,Neither Agree or Disagree,No,Yes,Very,Very,Disagree Somewhat,Agree Strongly,No,Disagree Somewhat,Neither Agree or Disagree,Government Controls,Agree Somewhat,A small factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Reply,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Blacklist,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Somewhat,Disagree Somewhat,Neither Agree or Disagree,Yes,No,Somewhat,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Strongly,No,Disagree Strongly,Agree Somewhat,Government Controls,Agree Somewhat,A deciding factor,Agree Strongly,Agree Somewhat,Agree Somewhat,Convenience,Yes
Neither Agree or Disagree,Agree Somewhat,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Somewhat,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Not App,No Opinion,Disagree Strongly,Disagree Somewhat,No,Yes,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Somewhat,No Opinion,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Neither Agree or Disagree,Reply,Agree Strongly,Agree Somewhat,Agree Strongly,Yes,Yes,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Government Controls,Neither Agree or Disagree,A small factor,Neither Agree or Disagree,Agree Somewhat,Neither Agree or Disagree,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Somewhat,No,Yes,A little,A little,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Impact Fee,Agree Strongly,A significant factor,Disagree Somewhat,Neither Agree or Disagree,Agree Strongly,Convenience,Yes
Disagree Somewhat,Agree Strongly,Delete,Agree Strongly,No Opinion,Agree Somewhat,Yes,Yes,A little,Very,Neither Agree or Disagree,Agree Somewhat,No,Disagree Somewhat,No Opinion,Blacklist,Agree Strongly,A deciding factor,Disagree Somewhat,Neither Agree or Disagree,Agree Strongly,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,A little,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Impact Fee,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Agree Strongly,Disagree Strongly,Disagree Somewhat,No,Yes,Somewhat,"Should be, but not",Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Reply,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Somewhat,Agree Somewhat,No,No,Somewhat,Not at all,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A small factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Somewhat,Delete,Agree Somewhat,Disagree Strongly,Disagree Somewhat,Yes,No,A little,A little,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
